index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude,original_components,enriched_components,component_gain,original_length,enriched_length,length_gain
853,"Ferguson Cres, Mittagong, 2575","Ferguson Crescent, Mittagong NSW 2575",Ferguson Crescent Mittagong New South Wales 2575,Ferguson Crescent,Mittagong,New South Wales,2575.0,,Porsche Smart Mobility,-34.44740445,150.4612402,4,7,3,30,48,18
854,"First Ave, Gundagai, 2722","First Avenue, Gundagai NSW 2722",First Avenue Gundagai New South Wales 2722,First Avenue,Gundagai,New South Wales,2722.0,,Porsche Smart Mobility,-35.06456061,148.1075155,4,7,3,25,42,17
874,"Hermitage Rd, Pokolbin, 2320","Hermitage Road, Pokolbin NSW 2320",Hermitage Road Cessnock New South Wales 2320,Hermitage Road,Cessnock,New South Wales,2320.0,,Tesla,-32.7277508,151.2606126,4,7,3,28,44,16
871,"Headland Ave, Austinmer, 2515","Headland Avenue, Austinmer NSW 2515",Headland Avenue Austinmer New South Wales 2515,Headland Avenue,Austinmer,New South Wales,2515.0,,EVX,-34.30089594,150.9396096,4,7,3,29,46,17
846,"Darwin St, Cessnock, 2325","Darwin Street, Cessnock NSW 2325",North Avenue Cessnock New South Wales 2325,North Avenue,Cessnock,New South Wales,2325.0,,Everty,-32.83657562,151.3539109,4,7,3,25,42,17
847,"Date St, Newcastle, 2289","Date Street, Newcastle NSW 2289",Date Street Adamstown New South Wales 2289,Date Street,Adamstown,New South Wales,2289.0,,Chargefox,-32.93447852,151.7247487,4,7,3,24,42,18
849,"Dorhauer Ln, Sydney, 2025","Dorhauer Lane, Sydney NSW 2025",Dorhauer Lane Woollahra New South Wales 2025,Dorhauer Lane,Woollahra,New South Wales,2025.0,,Evie,-33.88851356,151.2376316,4,7,3,25,44,19
857,"Gardeners Rd, Sydney, 2020","Gardeners Road, Sydney NSW 2020",Gardeners Road Alexandria New South Wales 2015,Gardeners Road,Alexandria,New South Wales,2015.0,,JOLT,-33.92049354,151.1907497,4,7,3,26,46,20
855,"Franklin St, Sydney, 2036","Franklin Street, Sydney NSW 2036",Franklin Street Malabar New South Wales 2036,Franklin Street,Malabar,New South Wales,2036.0,,Evie,-33.96116721,151.2488509,4,7,3,25,44,19
856,"Gallagher St, Byron Bay, 2481","Gallagher Street, Byron Bay NSW 2481",Gallagher Street Byron Bay New South Wales 2481,Gallagher Street,Byron Bay,New South Wales,2481.0,,Chargefox,-28.63008013,153.5810821,5,8,3,29,47,18
858,"Gardeners Rd, Sydney, 2020","Gardeners Road, Sydney NSW 2020",Gardeners Road Alexandria New South Wales 2015,Gardeners Road,Alexandria,New South Wales,2015.0,,JOLT,-33.92059364,151.1914745,4,7,3,26,46,20
930,"Pittwater Road, Sydney, 2101","Pittwater Road, Sydney NSW 2101",Pittwater Road Narrabeen New South Wales 2101,Pittwater Road,Narrabeen,New South Wales,2101.0,,JOLT,-33.71376381,151.2971421,4,7,3,28,45,17
859,"Gasworks Ln, Molong, 2866","Gasworks Lane, Molong NSW 2866",Gasworks Lane Molong New South Wales 2866,Gasworks Lane,Molong,New South Wales,2866.0,,NRMA,-33.09089894,148.8704144,4,7,3,25,41,16
860,"Gipps St, Bega, 2550","Gipps Street, Bega NSW 2550",Gipps Street Bega New South Wales 2550,Gipps Street,Bega,New South Wales,2550.0,,NRMA,-36.67324729,149.843047,4,7,3,20,38,18
921,"Oberon St, Oberon, 2787","Oberon Street, Oberon NSW 2787",Oberon Street Oberon New South Wales 2787,Oberon Street,Oberon,New South Wales,2787.0,,ChargeHub,-33.70452257,149.8638138,4,7,3,23,41,18
922,"Obley Road, Dubbo, 2830","Obley Road, Dubbo NSW 2830",Obley Road Dubbo New South Wales 2830,Obley Road,Dubbo,New South Wales,2830.0,,Chargefox,-32.27382687,148.5880791,4,7,3,23,37,14
