index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude
807,"Bay St, Sydney, 2007","Bay Street, Sydney NSW 2007",1 Bay Street Glebe New South Wales 2037,1 Bay Street,Glebe,New South Wales,2037,,Tesla,-33.88364169,151.1948789
808,"Beachside Dr, Caves Beach, 2281","Beachside Drive, Caves Beach NSW 2281",Mawson Close Caves Beach New South Wales 2281,Mawson Close,Caves Beach,New South Wales,2281,,Porsche Smart Mobility,-33.10472377,151.648005
809,"Bellambi Ln, Wollongong, 2518","Bellambi Lane, Wollongong NSW 2518",Bellambi Lane Bellambi New South Wales 2518,Bellambi Lane,Bellambi,New South Wales,2518,,Exploren,-34.36218023,150.907982
810,"Berowra Railway Station, Pacific Highway, Berowra, New South Wales 2081, Australia","Berowra Railway Station, Pacific Highway, Berowra, New South Wales NSW 2081",Pacific Highway Sydney New South Wales 2081,Pacific Highway,Sydney,New South Wales,2081,,JOLT,-33.623906,151.151802
811,"Bradleys Head Road, Sydney, 2088","Bradleys Head Road, Sydney NSW 2088",Bradleys Head Road Mosman New South Wales 2088,Bradleys Head Road,Mosman,New South Wales,2088,,Chargefox,-33.84167072,151.2429499
812,"Breese Pde, Forster, 2428","Breese Parade, Forster NSW 2428",NSW Coastline Cycleway Forster Keys New South Wales 2428,NSW Coastline Cycleway,Forster Keys,New South Wales,2428,,Chargefox,-32.20032137,152.5184084
813,"Brunswick Ter, Brunswick Heads, 2483","Brunswick Ter, Brunswick Heads NSW 2483",2 The Terrace Brunswick Heads New South Wales 2483,2 The Terrace,Brunswick Heads,New South Wales,2483,,Tesla,-28.53977782,153.5522432
814,"Bryant Dr, Central Coast, 2259","Bryant Drive, Central Coast NSW 2259",Wyong Road Tuggerah New South Wales 2259,Wyong Road,Tuggerah,New South Wales,2259,,Tesla,-33.31010015,151.4206827
815,"Buchanan Dr
South West Rocks NSW 2431
Australia","Buchanan Drive, South West Rocks NSW 2431",Buchanan Drive South West Rocks New South Wales 2431,Buchanan Drive,South West Rocks,New South Wales,2431,Kempsey Shire Council,Exploren,-30.88653,153.0379572
816,"Bunnerong Rd, Sydney, 2036","Bunnerong Road, Sydney NSW 2036",Bunnerong Road Chifley New South Wales 2036,Bunnerong Road,Chifley,New South Wales,2036,,Chargefox,-33.97296101,151.2365656
817,"Cabarita Rd, Bogangar, 2488","Cabarita Road, Bogangar NSW 2488",Cabarita Road New South Wales 2488,Cabarita Road,,New South Wales,2488,,NRMA,-28.33169174,153.5641411
818,"Camden Valley Way &, Somerset Ave, Narellan NSW 2567","Camden Valley Way &, Somerset Avenue, Narellan NSW 2567",Camden Valley Way Narellan New South Wales 2567,Camden Valley Way,Narellan,New South Wales,2567,,Evie,-34.0397301,150.7385139
819,"Campbell St, Sydney, 2150","Campbell Street, Sydney NSW 2150",Campbell Street Sydney New South Wales 2150,Campbell Street,Sydney,New South Wales,2150,,EVUp,-33.81783788,150.999956
820,"Car Park behind the Civic Centre, Orange, 2800","Car Park Behind The Civic Centre, Orange NSW 2800",March Street Bowen New South Wales 2800,March Street,Bowen,New South Wales,2800,,NRMA,-33.28142647,149.1027898
821,"Car park, 51 Evans St (Victoria Park), Inverell, NSW 2360, Australia","Car Park, 51 Evans Street (Victoria Park), Inverell NSW 2360",Wiradjuri Trail Wagga Wagga New South Wales 2650,Wiradjuri Trail,Wagga Wagga,New South Wales,2650,,NRMA,-35.1086448,147.3732036
822,"Car park, Little Hoskins St, Temora, NSW 2666","Car Park, Little Hoskins Street, Temora NSW 2666",Apsley Street Walcha New South Wales 2354,Apsley Street,Walcha,New South Wales,2354,,NRMA,-30.9827002,151.5928644
823,"Carrington Pde, Sydney, 2096","Carrington Parade, Sydney NSW 2096",Carrington Parade Freshwater New South Wales 2096,Carrington Parade,Freshwater,New South Wales,2096,,EVUp,-33.77900205,151.2924134
824,"Castlereagh Rd, Sydney, 2750","Castlereagh Road, Sydney NSW 2750",Coreen Avenue Penrith New South Wales 2750,Coreen Avenue,Penrith,New South Wales,2750,,Ampol,-33.74298103,150.69296
825,"Central Ave 2, Sydney, 2015","Central Avenue 2, Sydney NSW 2015",2 Central Avenue Eveleigh New South Wales 2015,2 Central Avenue,Eveleigh,New South Wales,2015,,Ampol,-33.89561066,151.1961411
826,"Church St, Glen Innes, 2370","Church Street, Glen Innes NSW 2370",Fitzhardinge Lane Glen Innes New South Wales 2370,Fitzhardinge Lane,Glen Innes,New South Wales,2370,,EVUp,-29.73817122,151.7375185
827,"Church St, Sydney, 2024","Church Street, Sydney NSW 2024",Church Street Waverley New South Wales 2024,Church Street,Waverley,New South Wales,2024,,EVX,-33.89814219,151.2537778
828,"Civic Dr, Sydney, 2099","Civic Drive, Sydney NSW 2099",40 Kingsway Dee Why New South Wales 2099,40 Kingsway,Dee Why,New South Wales,2099,,ChargePoint,-33.75034339,151.2866637
829,"Cnr Beggs Road & Rooty Hill Road, Sydney, 2766","Cnr Beggs Road & Rooty Hill Road, Sydney NSW 2766",159 Rooty Hill Road South Eastern Creek New South Wales 2766,159 Rooty Hill Road South,Eastern Creek,New South Wales,2766,,Chargefox,-33.7847568,150.8531011
830,"Cnr Compton Drive & Cedar Cres, Ballina, 2478","Cnr Compton Drive & Cedar Crescent, Ballina NSW 2478",72 Cedar Crescent East Ballina New South Wales 2478,72 Cedar Crescent,East Ballina,New South Wales,2478,,Tesla,-28.86860365,153.5889309
831,"Cnr Dunheved Rd & Henry Lawson Dr, Werrington, NSW, 2747","Cnr Dunheved Road & Henry Lawson Drive, Werrington NSW 2747",11 Dunheved Road Werrington County New South Wales 2747,11 Dunheved Road,Werrington County,New South Wales,2747,,Ampol,-33.7463077,150.7413197
832,"Cnr Elara Bvd &, Northbourne Dr, Sydney, 2765","Cnr Elara Bvd &, Northbourne Drive, Sydney NSW 2765",Wimlah Glade Marsden Park New South Wales 2765,Wimlah Glade,Marsden Park,New South Wales,2765,,Evie,-33.69514919,150.8213664
833,"Cnr Herring & Waterloo Rd, North Ryde NSW 2113","Cnr Herring & Waterloo Road, North Ryde NSW 2113",197-201 Herring Road Macquarie Park New South Wales 2113,197-201 Herring Road,Macquarie Park,New South Wales,2113,,Evie,-33.776893,151.122247
834,"Cnr Herring Rd & Waterloo Rd, Sydney, 2113","Cnr Herring Road & Waterloo Road, Sydney NSW 2113",197-201 Herring Road Macquarie Park New South Wales 2113,197-201 Herring Road,Macquarie Park,New South Wales,2113,,Tesla,-33.77721726,151.1208809
835,"Cnr Miller & Amherst St, Cammeray NSW 2062","Cnr Miller & Amherst Street, Cammeray NSW 2062",Amherst Street Cammeray New South Wales 2062,Amherst Street,Cammeray,New South Wales,2062,,Evie,-33.82301829,151.2093468
836,"Cnr Trafalgar St & Pembroke St, Sydney, 2024","Cnr Trafalgar Street & Pembroke Street, Sydney NSW 2024",Trafalgar Street Bronte New South Wales 2024,Trafalgar Street,Bronte,New South Wales,2024,,Chargefox,-33.90722527,151.2647708
837,"Commercial St, Walla Walla, 2659","Commercial Street, Walla Walla NSW 2659",Commercial Street New South Wales 2659,Commercial Street,,New South Wales,2659,,NRMA,-35.76493698,146.901041
838,"Corner of Snowy River Avenue and Kalkite St, Jindabyne, 2627","Corner Of Snowy River Avenue And Kalkite Street, Jindabyne NSW 2627",Kalkite Street Jindabyne New South Wales 2627,Kalkite Street,Jindabyne,New South Wales,2627,,NRMA,-36.415952,148.6198038
839,"Cowper Street, Warrawong, NSW 2502","Cowper Street, Warrawong NSW 2502",King Street Warrawong New South Wales 2502,King Street,Warrawong,New South Wales,2502,,EVUp,-34.4861592,150.8879279
840,"Cronulla Railway Station, Tonkin Street, Cronulla, New South Wales 2230, Australia","Cronulla Railway Station, Tonkin Street, Cronulla, New South Wales NSW 2230",Cronulla Street Cronulla New South Wales 2230,Cronulla Street,Cronulla,New South Wales,2230,,JOLT,-34.05771,151.151975
841,"Cypress Dr, Pokolbin, 2320","Cypress Drive, Pokolbin NSW 2320",Vintage Avenue Cessnock New South Wales,Vintage Avenue,Cessnock,New South Wales,,,Tesla,-32.78510015,151.2896006
842,"Dalton St, Parkes, 2870","Dalton Street, Parkes NSW 2870",Dalton Street Parkes New South Wales 2870,Dalton Street,Parkes,New South Wales,2870,,NRMA,-33.13720725,148.1726176
843,"Darling Cswy, Mount Victoria, 2786","Darling Cswy, Mount Victoria NSW 2786",Darling Causeway Mount Victoria New South Wales 2786,Darling Causeway,Mount Victoria,New South Wales,2786,,Non-networked,-33.58671976,150.2568799
844,"Darling Dr, Sydney, 2000","Darling Drive, Sydney NSW 2000",Darling Drive Sydney New South Wales 2000,Darling Drive,Sydney,New South Wales,2000,,NRMA,-33.8751502,151.1995636
845,"Darling Dr, Sydney, 2000","Darling Drive, Sydney NSW 2000",Moriarty Walk Sydney New South Wales 2000,Moriarty Walk,Sydney,New South Wales,2000,,NRMA,-33.8767518,151.20002
846,"Darwin St, Cessnock, 2325","Darwin Street, Cessnock NSW 2325",North Avenue Cessnock New South Wales 2325,North Avenue,Cessnock,New South Wales,2325,,Everty,-32.83657562,151.3539109
847,"Date St, Newcastle, 2289","Date Street, Newcastle NSW 2289",Date Street Adamstown New South Wales 2289,Date Street,Adamstown,New South Wales,2289,,Chargefox,-32.93447852,151.7247487
848,"Don Kendell Dr, Forest Hill, 2651","Don Kendell Drive, Forest Hill NSW 2651",Walsh Drive Forest Hill New South Wales 2651,Walsh Drive,Forest Hill,New South Wales,2651,,Tesla,-35.15820325,147.4594585
849,"Dorhauer Ln, Sydney, 2025","Dorhauer Lane, Sydney NSW 2025",Dorhauer Lane Woollahra New South Wales 2025,Dorhauer Lane,Woollahra,New South Wales,2025,,Evie,-33.88851356,151.2376316
850,"Eric Felton St, Sydney, 2154","Eric Felton Street, Sydney NSW 2154",6-14 Castle Street Castle Hill New South Wales 2154,6-14 Castle Street,Castle Hill,New South Wales,2154,,Tesla,-33.72919824,151.0068078
851,"Eskbank St, Lithgow, 2790","Eskbank Street, Lithgow NSW 2790",Eskbank Street Cooerwull New South Wales 2790,Eskbank Street,Cooerwull,New South Wales,2790,,NRMA,-33.48123828,150.1588018
852,"f 419 Hinterland Wy, Knockrow , 2479","F 419 Hinterland Wy, Knockrow NSW 2479",Hinterland Way New South Wales 2479,Hinterland Way,,New South Wales,2479,,Tesla,-28.74953958,153.5347227
853,"Ferguson Cres, Mittagong, 2575","Ferguson Crescent, Mittagong NSW 2575",Ferguson Crescent Mittagong New South Wales 2575,Ferguson Crescent,Mittagong,New South Wales,2575,,Porsche Smart Mobility,-34.44740445,150.4612402
854,"First Ave, Gundagai, 2722","First Avenue, Gundagai NSW 2722",First Avenue Gundagai New South Wales 2722,First Avenue,Gundagai,New South Wales,2722,,Porsche Smart Mobility,-35.06456061,148.1075155
855,"Franklin St, Sydney, 2036","Franklin Street, Sydney NSW 2036",Franklin Street Malabar New South Wales 2036,Franklin Street,Malabar,New South Wales,2036,,Evie,-33.96116721,151.2488509
856,"Gallagher St, Byron Bay, 2481","Gallagher Street, Byron Bay NSW 2481",Gallagher Street Byron Bay New South Wales 2481,Gallagher Street,Byron Bay,New South Wales,2481,,Chargefox,-28.63008013,153.5810821
857,"Gardeners Rd, Sydney, 2020","Gardeners Road, Sydney NSW 2020",Gardeners Road Alexandria New South Wales 2015,Gardeners Road,Alexandria,New South Wales,2015,,JOLT,-33.92049354,151.1907497
858,"Gardeners Rd, Sydney, 2020","Gardeners Road, Sydney NSW 2020",Gardeners Road Alexandria New South Wales 2015,Gardeners Road,Alexandria,New South Wales,2015,,JOLT,-33.92059364,151.1914745
859,"Gasworks Ln, Molong, 2866","Gasworks Lane, Molong NSW 2866",Gasworks Lane Molong New South Wales 2866,Gasworks Lane,Molong,New South Wales,2866,,NRMA,-33.09089894,148.8704144
860,"Gipps St, Bega, 2550","Gipps Street, Bega NSW 2550",Gipps Street Bega New South Wales 2550,Gipps Street,Bega,New South Wales,2550,,NRMA,-36.67324729,149.843047
861,"Goobarabah Ave, Central Coast, 2263","Goobarabah Avenue, Central Coast NSW 2263",Lake Haven Shopping Centre Carpark Lake Haven New South Wales 2263,Lake Haven Shopping Centre Carpark,Lake Haven,New South Wales,2263,,Chargefox,-33.24040245,151.5038719
862,"Grandview Lane, Bowen Mountain, 2753","Grandview Lane, Bowen Mountain NSW 2753",Grandview Lane Bowen Mountain New South Wales 2753,Grandview Lane,Bowen Mountain,New South Wales,2753,,Porsche Destination Charging,-33.58239244,150.6335656
863,"Grenache Way, Murrumbateman, 2582","Grenache Way, Murrumbateman NSW 2582",Isabel Drive Murrumbateman New South Wales 2582,Isabel Drive,Murrumbateman,New South Wales,2582,,Porsche Smart Mobility,-34.97787592,149.0084344
