OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_NAME26,SA4_CODE26,augmentation_match_status,augmentation_match_method,augmentation_match_confidence,augmentation_manual_review,augmentation_reference_row,augmentation_match_distance_m,augmentation_nearest_distance_m,augmentation_nearest_gap_m,external_source,external_data_provider,external_station_id,external_station_name,external_station_address,external_operator,external_plug_types,external_connector_types_normalized,external_number_of_plugs,external_numeric_conflict_flags,external_number_of_plugs_quality,external_number_of_plugs_semantics,external_charger_capacity,external_power_kw_values,external_power_kw_min,external_power_kw_max,external_status,external_operational_status,external_usage_cost,external_last_verified,external_comments,external_opening_hours,external_latitude,external_longitude,external_attributes_json,augmentation_review_reason
,,"10 Colden Drive, Albion Park Rail NSW 2527",Chargefox,4,AC,22 kW,-34.57356661,150.8134274,Shellharbour City Council,2527,Existing Destination Chargers,Illawarra,107,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"10 Elizabeth Street, Bathurst NSW 2795",Evie Networks,4,DC,150 kW,-33.41417222,149.5833564,Bathurst Regional Council,2795,Existing Fast Chargers,Central West,103,accepted,OSM:coordinate_500m,1.0,False,55.0,6.032640566244588,6.032640566244588,192.48528001239757,OSM,OpenStreetMap,OSM:12481649796,,,Evie Networks,CCS|CHAdeMO,CCS; CHAdeMO,4.0,,valid,OSM charge_points_count; values above 100 are withheld as suspicious,,,,,,unknown,,,,,-33.4141679507809,149.583421194353,"{""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -33.4141679507809, ""OSM::longitude"": 149.583421194353, ""OSM::number_of_plugs"": 4, ""OSM::number_of_plugs_quality"": ""valid"", ""OSM::number_of_plugs_raw"": 4, ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""Evie Networks"", ""OSM::osm_last_updated"": ""2025-05-25"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",
,,"10 Rugby Road, Newcastle NSW 2305",Tesla,1,AC,22 kW,-32.9207518,151.7155225,Newcastle City Council,2305,Existing Destination Chargers,Newcastle and Lake Macquarie,111,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"10 Seymour Street, Laurieton NSW 2443",Exploren,2,AC,22 kW,-31.65042247,152.7958869,Port Macquarie-Hastings Council,2443,Existing Destination Chargers,Mid North Coast,108,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"10 Tryon Road, Sydney NSW 2070",Chargefox,10,AC,22 kW,-33.77481686,151.1704995,Ku-ring-gai Council,2070,Existing Destination Chargers,Sydney - North Sydney and Hornsby,121,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"10 Tryon Road, Sydney NSW 2070",Exploren,5,AC,6 kW,-33.77497902,151.1702102,Ku-ring-gai Council,2070,Existing Destination Chargers,Sydney - North Sydney and Hornsby,121,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"10 Victoria Street, Wollongong NSW 2500",EVX,2,AC,22 kW,-34.42213018,150.891979,Wollongong City Council,2500,Existing Destination Chargers,Illawarra,107,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"10 Winery Drive, Port Macquarie NSW 2444",Tesla,12,DC,130 kW,-31.43610015,152.8235826,Port Macquarie-Hastings Council,2444,Existing Fast Chargers,Mid North Coast,108,accepted,OCM:coordinate_500m;OSM:coordinate_500m,1.0,False,61.0,0.05931765667445182,0.05931765667445182,,OCM;OSM,Open Charge Map; OpenStreetMap,OCM:79311;OSM:6460587589,Port Macquarie Supercharger [Tesla]; Tesla Supercharger,"OCM:764 Pacific Highway, Port Macquarie, NSW, 2444",Tesla (Tesla-only charging); Tesla,CCS (Type 2); CCS,CCS,6.0,,reported_or_derived_from_connection_quantity; valid,OCM NumberOfPoints or positive connection Quantity; OSM charge_points_count; values above 100 are withheld as suspicious,120 kW,120.0,120.0,120.0,Operational,operational,AUD 0.52/kWh,2021-12-19T01:54:00Z,,24/7,-31.4361,152.823582,"{""OCM::charger_capacities"": ""120 kW"", ""OCM::connector_types_normalized"": ""CCS"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2021-12-19T01:54:00Z"", ""OCM::latitude"": -31.4361, ""OCM::longitude"": 152.823582, ""OCM::number_of_plugs"": 6.0, ""OCM::number_of_plugs_quality"": ""reported_or_derived_from_connection_quantity"", ""OCM::number_of_plugs_semantics"": ""OCM NumberOfPoints or positive connection Quantity"", ""OCM::operational_status"": ""operational"", ""OCM::operator"": ""Tesla (Tesla-only charging)"", ""OCM::plug_types"": ""CCS (Type 2)"", ""OCM::power_kw_max"": 120.0, ""OCM::power_kw_min"": 120.0, ""OCM::power_kw_values"": [120.0], ""OCM::station_address"": ""764 Pacific Highway, Port Macquarie, NSW, 2444"", ""OCM::station_name"": ""Port Macquarie Supercharger [Tesla]"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""AUD 0.52/kWh"", ""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -31.4361396361267, ""OSM::longitude"": 152.823675362584, ""OSM::number_of_plugs"": 6, ""OSM::number_of_plugs_quality"": ""valid"", ""OSM::number_of_plugs_raw"": 6, ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::opening_hours"": ""24/7"", ""OSM::operator"": ""Tesla"", ""OSM::osm_last_updated"": ""2026-03-29"", ""OSM::plug_types"": ""CCS"", ""OSM::station_name"": ""Tesla Supercharger""}",
,,"100 Weakleys Drive, Beresfield NSW 2322",Exploren,3,AC,22 kW,-32.80300905,151.6334314,Newcastle City Council,2322,Existing Destination Chargers,Newcastle and Lake Macquarie,111,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"101 Goulburn Street, Sydney NSW 2000",Chargefox,4,AC,6 kW,-33.87844949,151.208999,"Sydney, Council of the City of",2000,Existing Destination Chargers,Sydney - City and Inner South,117,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
